Date,City,total,kia_hyundai,others
2019-12-01,Portland,592,13,579
2019-12-01,Chicago,767,46,721
2019-12-01,San Diego,430,25,405
2019-12-01,"Riverside County, CA",594,11,583
2019-12-01,"Austin, TX",289,10,279
2019-12-01,"San Jose, CA",525,6,519
2019-12-01,"Milwaukee, WI",339,22,317
2019-12-01,"Los Angeles, CA",1409,53,1356
2019-12-01,"Minneapolis, MN",326,22,304
2019-12-01,"Houston, TX",603,24,579
2020-01-01,Portland,559,12,547
2020-01-01,Chicago,669,36,633
2020-01-01,Louisville,301,18,283
2020-01-01,San Diego,423,14,409
2020-01-01,Dallas,1060,26,1034
2020-01-01,"Riverside County, CA",583,10,573
2020-01-01,"Austin, TX",280,11,269
2020-01-01,"San Jose, CA",420,6,414
2020-01-01,"Milwaukee, WI",312,23,289
2020-01-01,"Los Angeles, CA",1409,42,1367
2020-01-01,"Minneapolis, MN",490,30,460
2020-01-01,"Houston, TX",586,18,568
2020-02-01,Portland,498,10,488
2020-02-01,Chicago,653,40,613
2020-02-01,Louisville,277,10,267
2020-02-01,San Diego,411,16,395
2020-02-01,Dallas,874,23,851
2020-02-01,"Riverside County, CA",610,10,600
2020-02-01,"Austin, TX",273,12,261
2020-02-01,"San Jose, CA",477,9,468
2020-02-01,"Milwaukee, WI",290,24,266
2020-02-01,"Los Angeles, CA",1280,39,1241
2020-02-01,"Minneapolis, MN",423,18,405
2020-02-01,"Houston, TX",556,15,541
2020-03-01,Portland,465,4,461
2020-03-01,Chicago,628,38,590
2020-03-01,Louisville,296,14,282
2020-03-01,San Diego,412,29,383
2020-03-01,Dallas,842,22,820
2020-03-01,"Riverside County, CA",559,9,550
2020-03-01,"Austin, TX",346,8,338
2020-03-01,"San Jose, CA",457,6,451
2020-03-01,"Milwaukee, WI",267,27,240
2020-03-01,"Los Angeles, CA",1477,50,1427
2020-03-01,"Minneapolis, MN",369,19,350
2020-03-01,"Houston, TX",524,26,498
2020-04-01,Portland,488,7,481
2020-04-01,Chicago,659,40,619
2020-04-01,Louisville,352,20,332
2020-04-01,San Diego,388,14,374
2020-04-01,Dallas,772,19,753
2020-04-01,"Riverside County, CA",609,7,602
2020-04-01,"Austin, TX",340,13,327
2020-04-01,"San Jose, CA",548,11,537
2020-04-01,"Milwaukee, WI",237,17,220
2020-04-01,"Los Angeles, CA",1837,51,1786
2020-04-01,"Minneapolis, MN",314,19,295
2020-04-01,"Houston, TX",541,21,520
2020-05-01,Portland,387,7,380
2020-05-01,Chicago,829,70,759
2020-05-01,Louisville,324,11,313
2020-05-01,San Diego,413,13,400
2020-05-01,Dallas,760,24,736
2020-05-01,"Riverside County, CA",619,13,606
2020-05-01,"Austin, TX",322,6,316
2020-05-01,"San Jose, CA",619,4,615
2020-05-01,"Milwaukee, WI",230,12,218
2020-05-01,"Los Angeles, CA",1848,61,1787
2020-05-01,"Minneapolis, MN",300,23,277
2020-05-01,"Houston, TX",633,27,606
2020-06-01,Portland,423,11,412
2020-06-01,Chicago,794,57,737
2020-06-01,Louisville,423,23,400
2020-06-01,San Diego,456,35,421
2020-06-01,Dallas,928,25,903
2020-06-01,"Riverside County, CA",621,8,613
2020-06-01,"Austin, TX",332,13,319
2020-06-01,"San Jose, CA",789,14,775
2020-06-01,"Milwaukee, WI",281,16,265
2020-06-01,"Los Angeles, CA",2090,54,2036
2020-06-01,"Minneapolis, MN",403,26,377
2020-06-01,"Houston, TX",700,27,673
2020-07-01,Portland,528,11,517
2020-07-01,Chicago,959,60,899
2020-07-01,Louisville,515,20,495
2020-07-01,San Diego,399,23,376
2020-07-01,Dallas,923,19,904
2020-07-01,"Riverside County, CA",546,12,534
2020-07-01,"Austin, TX",368,15,353
2020-07-01,"San Jose, CA",901,14,887
2020-07-01,"Milwaukee, WI",427,24,403
2020-07-01,"Los Angeles, CA",1989,83,1906
2020-07-01,"Minneapolis, MN",448,26,422
2020-07-01,"Houston, TX",692,35,657
2020-08-01,Portland,629,8,621
2020-08-01,Chicago,996,55,941
2020-08-01,Louisville,437,18,419
2020-08-01,San Diego,376,16,360
2020-08-01,Dallas,934,28,906
2020-08-01,"Riverside County, CA",485,17,468
2020-08-01,"Austin, TX",375,15,360
2020-08-01,"San Jose, CA",636,10,626
2020-08-01,"Milwaukee, WI",419,20,399
2020-08-01,"Los Angeles, CA",1838,130,1708
2020-08-01,"Minneapolis, MN",470,21,449
2020-08-01,"Houston, TX",687,40,647
2020-09-01,Portland,657,11,646
2020-09-01,Chicago,921,39,882
2020-09-01,Louisville,375,17,358
2020-09-01,San Diego,389,27,362
2020-09-01,Dallas,913,32,881
2020-09-01,"Riverside County, CA",406,11,395
2020-09-01,"Austin, TX",349,14,335
2020-09-01,"San Jose, CA",657,7,650
2020-09-01,"Milwaukee, WI",363,39,324
2020-09-01,"Los Angeles, CA",1620,124,1496
2020-09-01,"Minneapolis, MN",406,15,391
2020-09-01,"Houston, TX",650,23,627
2020-10-01,Portland,616,13,603
2020-10-01,Chicago,1000,44,956
2020-10-01,Louisville,431,23,408
2020-10-01,San Diego,446,31,415
2020-10-01,Dallas,940,20,920
2020-10-01,"Riverside County, CA",500,10,490
2020-10-01,"Austin, TX",368,16,352
2020-10-01,"San Jose, CA",677,7,670
2020-10-01,"Milwaukee, WI",441,76,365
2020-10-01,"Los Angeles, CA",1818,137,1681
2020-10-01,"Minneapolis, MN",451,18,433
2020-10-01,"Houston, TX",709,29,680
2020-11-01,Portland,633,17,616
2020-11-01,Chicago,939,52,887
2020-11-01,Louisville,410,11,399
2020-11-01,San Diego,439,17,422
2020-11-01,Dallas,872,26,846
2020-11-01,"Riverside County, CA",648,19,629
2020-11-01,"Austin, TX",385,17,368
2020-11-01,"San Jose, CA",699,11,688
2020-11-01,"Milwaukee, WI",505,206,299
2020-11-01,"Los Angeles, CA",1758,187,1571
2020-11-01,"Minneapolis, MN",458,27,431
2020-11-01,"Houston, TX",555,25,530
2020-12-01,Portland,570,14,556
2020-12-01,Chicago,912,61,851
2020-12-01,Louisville,443,33,410
2020-12-01,San Diego,493,26,467
2020-12-01,Dallas,920,28,892
2020-12-01,"Riverside County, CA",623,17,606
2020-12-01,"Austin, TX",346,11,335
2020-12-01,"San Jose, CA",745,7,738
2020-12-01,"Milwaukee, WI",704,396,308
2020-12-01,"Los Angeles, CA",1804,111,1693
2020-12-01,"Minneapolis, MN",443,29,414
2020-12-01,"Houston, TX",623,27,596
2021-01-01,Portland,555,27,528
2021-01-01,Chicago,802,56,746
2021-01-01,Louisville,459,35,424
2021-01-01,San Diego,514,14,500
2021-01-01,Dallas,813,23,790
2021-01-01,"Riverside County, CA",673,19,654
2021-01-01,"Austin, TX",318,9,309
2021-01-01,"San Jose, CA",749,15,734
2021-01-01,"Milwaukee, WI",789,500,289
2021-01-01,"Los Angeles, CA",1871,128,1743
2021-01-01,"Minneapolis, MN",520,28,492
2021-01-01,"Houston, TX",711,39,672
2021-02-01,Portland,486,8,478
2021-02-01,Chicago,630,40,590
2021-02-01,Louisville,348,15,333
2021-02-01,San Diego,483,16,467
2021-02-01,Dallas,767,33,734
2021-02-01,"Riverside County, CA",570,14,556
